open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,RROF,RROF_s,Signal,LongEntry,LongExit,ShortEntry,ShortExit
2025-06-15 08:00:00,105428.0,105482.4,105243.25,105243.26,108.80412,1749976199999,11459365.68967220,22596,55.44004000,5838851.06280740,0,,,,False,False,False,False
2025-06-15 08:30:00,105243.26,105286.88,105134.69,105197.19,150.77772,1749977999999,15862446.05754030,23917,74.57128000,7845230.93068150,0,,,,False,False,False,False
2025-06-15 09:00:00,105197.18,105197.19,104908.56,104928.18,210.83479,1749979799999,22136623.09963300,40927,77.30433000,8115819.38074630,0,,,,False,False,False,False
2025-06-15 09:30:00,104928.18,105040.0,104867.64,104915.15,159.81874,1749981599999,16769883.11511800,33705,73.97624000,7762713.43230020,0,,,,False,False,False,False
2025-06-15 10:00:00,104915.15,105155.55,104915.14,105032.79,114.49836,1749983399999,12028001.34948000,28355,64.91354000,6818624.24880140,0,,,,False,False,False,False
2025-06-15 10:30:00,105032.79,105188.96,104974.79,105119.99,116.04051,1749985199999,12194727.37990650,24093,49.00347000,5149287.88978380,0,,,,False,False,False,False
2025-06-15 11:00:00,105119.99,105162.51,104994.75,104999.99,87.62734,1749986999999,9207463.66931190,21182,44.11865000,4635784.07371010,0,,,,False,False,False,False
2025-06-15 11:30:00,104999.99,105064.07,104915.14,104970.51,108.75161,1749988799999,11416395.97999970,22416,53.65958000,5632753.18920620,0,,,,False,False,False,False
2025-06-15 12:00:00,104970.51,105176.48,104955.48,105041.03,118.3134,1749990599999,12433059.01919710,22200,69.54234000,7307973.98121200,0,,,,False,False,False,False
2025-06-15 12:30:00,105041.03,105296.0,105013.5,105289.81,138.96697,1749992399999,14614035.88219860,30374,82.21428000,8645322.57175410,0,,,,False,False,False,False
2025-06-15 13:00:00,105289.81,105595.6,105220.65,105483.32,216.99618,1749994199999,22877273.85288290,51211,115.84661000,12211972.82935710,0,27.08231809643796,,,False,False,False,False
2025-06-15 13:30:00,105483.33,105660.31,105294.11,105515.97,133.86186,1749995999999,14118386.01201840,48239,67.39256000,7108250.96442370,0,40.67111127349554,,,False,False,False,False
2025-06-15 14:00:00,105515.97,105560.0,105308.82,105372.52,123.79566,1749997799999,13049449.53915520,40704,46.36489000,4886873.28220860,0,17.86508335118606,27.003298449497873,,False,True,False,False
2025-06-15 14:30:00,105372.52,105838.24,105316.89,105657.64,212.20874,1749999599999,22421741.75034880,47991,110.93303000,11721746.66032220,0,33.920645030052015,29.693868844337285,,False,True,False,False
2025-06-15 15:00:00,105657.63,105732.3,105564.73,105732.29,171.991,1750001399999,18167993.35248930,35844,61.70281000,6517807.39354010,0,49.05427831125678,38.81153472417674,,False,True,False,False
2025-06-15 15:30:00,105732.29,105794.12,105539.0,105564.0,129.26717,1750003199999,13658558.42655690,27801,51.35936000,5426721.71087000,0,13.43879831801327,28.7242661011009,,False,True,False,False
2025-06-15 16:00:00,105563.99,105687.74,105333.33,105416.06,217.56996,1750004999999,22956099.06536290,35557,86.10313000,9086805.17745030,0,-5.298871715192263,10.005876633617754,24.516805858879668,False,True,False,False
2025-06-15 16:30:00,105416.06,105592.93,105332.0,105567.24,112.27922,1750006799999,11843190.13945720,28273,50.15655000,5290465.70311850,0,11.347609683101226,6.147313989488737,17.616654205193875,False,True,False,False
2025-06-15 17:00:00,105567.24,105573.53,105476.4,105536.51,77.78878,1750008599999,8209041.35604420,25613,35.15049000,3709366.26217270,0,9.003285318017177,7.4010339341769535,12.5248081637381,False,True,False,False
2025-06-15 17:30:00,105536.5,105777.09,105502.53,105689.64,116.28735,1750010399999,12289688.02215380,32261,61.21849000,6469318.66678330,0,70.87160723133277,40.328167002188984,19.89486213896369,False,True,False,True
2025-06-15 18:00:00,105689.65,105689.65,105472.0,105534.9,84.26539,1750012199999,8893640.88731700,24061,27.17499000,2867560.00244590,0,-11.808868753995029,19.21998225311627,20.12774571263089,False,True,False,False
2025-06-15 18:30:00,105534.9,105567.61,105472.58,105485.29,73.0447,1750013999999,7707105.47052360,18893,35.54830000,3750603.65474840,0,-35.125000023966095,-9.686855058092595,11.358635772427446,False,True,False,True
2025-06-15 19:00:00,105485.29,105566.43,105471.0,105486.01,71.86812,1750015799999,7582919.18126620,16256,33.65431000,3550764.88854790,0,-43.19644105650568,-35.27469866190737,-4.626906589600234,False,True,False,True
2025-06-15 19:30:00,105486.0,105516.45,105082.97,105294.19,222.87411,1750017599999,23460670.65081170,44464,88.78643000,9345497.83270210,0,-66.62824668047674,-53.56710369640128,-23.948449786366144,False,True,False,True
2025-06-15 20:00:00,105294.19,105300.0,104942.75,104989.67,184.63939,1750019399999,19399150.96454960,41249,58.07814000,6101683.72111750,0,-81.29934279922787,-70.0584938025238,-44.70258050980101,False,True,False,True
2025-06-15 20:30:00,104989.67,105085.24,104600.13,104729.53,268.93184,1750021199999,28179288.60700920,72162,92.47214000,9688573.44705690,0,-87.98198618326364,-82.19548180478724,-62.143263180342835,False,True,False,True
2025-06-15 21:00:00,104729.53,104812.0,104494.53,104812.0,331.3954,1750022999999,34672166.45170780,61355,155.61595000,16281784.84412860,0,-57.029381464599794,-71.39190992659242,-69.22172428762616,False,True,False,True
2025-06-15 21:30:00,104811.99,104828.94,104526.74,104807.75,146.1068,1750024799999,15297799.35661090,41564,60.11018000,6293434.01974000,0,-45.01138287902174,-56.1791496249214,-67.11559496978583,True,False,False,True
2025-06-15 22:00:00,104807.75,105285.71,104734.42,105174.49,276.25179,1750026599999,29024971.28949550,103883,129.44369000,13598140.28534170,0,-3.3392204352963404,-26.17830142142205,-53.61555285324475,False,False,False,True
2025-06-15 22:30:00,105174.49,105359.96,105039.82,105263.51,155.98029,1750028399999,16412578.32527820,59106,51.96051000,5467235.89001150,0,12.244591642037093,-2.4926748039171898,-34.046222015867365,False,False,False,True
2025-06-15 23:00:00,105263.52,105469.46,105226.79,105423.14,167.15777,1750030199999,17611149.70216220,56971,81.32580000,8568608.46101670,0,34.66055964624178,20.85527363125053,-11.198629633341167,False,True,False,True
2025-06-15 23:30:00,105423.13,105617.82,105423.13,105594.01,214.2583,1750031999999,22611984.53442060,51655,116.16932000,12259396.17090680,0,55.50789794782125,41.348234129664064,11.609899219587025,False,True,False,True
2025-06-16 00:00:00,105594.02,105769.85,105370.28,105470.17,256.4356,1750033799999,27071301.34462350,64140,106.32475000,11225022.61179060,0,36.35919857103241,42.45899187583025,27.272671050820176,False,True,False,True
2025-06-16 00:30:00,105470.16,105639.96,105352.94,105429.32,165.71858,1750035599999,17481049.62651270,62761,79.06187000,8340178.65133120,0,30.379494627318195,36.560796495306775,34.393501655162055,False,True,False,True
2025-06-16 01:00:00,105429.32,105465.66,105007.37,105100.77,181.44338,1750037399999,19085848.78107220,71234,74.68252000,7854925.61256360,0,5.48795537611565,18.93034232566929,31.454907675176194,False,True,False,False
2025-06-16 01:30:00,105100.78,105885.0,104980.37,105815.08,377.819,1750039199999,39877774.14600890,93286,217.19470000,22931795.26731890,0,32.482637748393756,23.13388643745513,28.48929392381318,False,True,False,False
2025-06-16 02:00:00,105815.09,105970.59,105705.59,105780.26,289.73808,1750040999999,30675594.23439720,76642,138.92195000,14709902.48752680,0,27.489635431811067,25.48702286138939,26.15615146001461,False,True,False,False
2025-06-16 02:30:00,105780.25,105897.22,105684.46,105785.51,145.36733,1750042799999,15377867.35523330,43131,82.57336000,8735789.25649970,0,23.135102015399653,26.14453577636914,25.0995940524276,False,True,False,True
2025-06-16 03:00:00,105785.51,105966.0,105708.93,105933.13,156.17311,1750044599999,16530484.41726190,25119,67.32055000,7125765.21767920,0,34.89977430182523,29.743193728014347,26.330219702019736,False,True,False,True
2025-06-16 03:30:00,105933.12,105944.0,105843.47,105921.84,107.34302,1750046399999,11366941.67743720,23375,49.02133000,5191121.31210780,0,37.383269726160506,34.180743299588606,29.49453539328945,False,True,False,True
2025-06-16 04:00:00,105921.85,106396.3,105874.48,106226.1,441.69835,1750048199999,46870933.52455230,57693,295.25564000,31326039.78464720,0,59.31467877313216,47.93505834559045,36.226929368298485,False,True,False,True
2025-06-16 04:30:00,106226.1,106386.0,106160.0,106386.0,214.81233,1750049999999,22827161.43875520,50078,110.13367000,11702999.70440440,0,73.90245077103197,62.95332993092012,46.3120024112084,False,True,False,True
