open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-13 00:00:00,105671.74,105694.0,103575.35,103721.52,3505.34237,2025-06-13 00:29:59.999,366455766.06916260,481974,1248.57638000,130486760.87366810,0
2025-06-13 00:30:00,103721.52,104133.16,103213.87,103797.81,1824.80654,2025-06-13 00:59:59.999,189242218.69629750,328670,909.76890000,94347410.76504630,0
2025-06-13 01:00:00,103797.81,103797.81,102664.31,103251.62,2617.07683,2025-06-13 01:29:59.999,270002146.33722760,347025,1056.91039000,109038329.78431100,0
2025-06-13 01:30:00,103251.6,103938.59,102974.39,103773.65,933.67542,2025-06-13 01:59:59.999,96596221.38347680,217635,550.30809000,56974571.24309030,0
2025-06-13 02:00:00,103773.65,103976.64,103560.13,103716.11,591.78968,2025-06-13 02:29:59.999,61397185.70915220,160225,305.68798000,31713025.69670730,0
2025-06-13 02:30:00,103716.11,103932.98,103065.58,103641.21,770.3961,2025-06-13 02:59:59.999,79768863.73184410,151015,344.09734000,35626463.51687220,0
2025-06-13 03:00:00,103641.2,104339.62,103605.12,104090.51,595.23276,2025-06-13 03:29:59.999,61913258.50164810,109353,326.04928000,33905207.04219400,0
2025-06-13 03:30:00,104090.52,104590.0,103960.47,104277.22,697.05473,2025-06-13 03:59:59.999,72700937.46053010,119489,381.98918000,39848088.53460640,0
2025-06-13 04:00:00,104277.22,104291.02,103782.75,104070.74,384.56244,2025-06-13 04:29:59.999,39984906.00811730,105670,163.49157000,16997372.96569940,0
2025-06-13 04:30:00,104070.75,104506.36,104062.8,104404.52,315.77516,2025-06-13 04:59:59.999,32940418.20462180,77322,185.76394000,19378336.32068600,0
2025-06-13 05:00:00,104404.52,104450.0,104237.72,104313.74,305.98987,2025-06-13 05:29:59.999,31930161.46412850,67983,131.88651000,13762380.24192310,0
2025-06-13 05:30:00,104313.74,104366.43,104000.0,104002.25,344.16602,2025-06-13 05:59:59.999,35860789.67295070,66821,132.12741000,13767029.16482150,0
2025-06-13 06:00:00,104002.26,104182.83,103848.63,103848.63,237.49375,2025-06-13 06:29:59.999,24706451.65983970,65961,116.24281000,12096002.14397760,0
2025-06-13 06:30:00,103848.63,104722.5,103825.11,104704.26,574.76779,2025-06-13 06:59:59.999,59950357.99801940,93085,384.05611000,40071815.99854240,0
2025-06-13 07:00:00,104704.27,104814.64,104376.43,104790.77,376.17914,2025-06-13 07:29:59.999,39331523.72374770,99029,217.86604000,22780559.11757400,0
2025-06-13 07:30:00,104790.77,104970.12,104604.09,104895.0,816.08226,2025-06-13 07:59:59.999,85509905.55948670,90434,554.49716000,58103662.47108860,0
2025-06-13 08:00:00,104895.01,105434.34,104876.0,105119.5,996.92519,2025-06-13 08:29:59.999,104838956.82074520,111476,663.71838000,69804942.36913860,0
2025-06-13 08:30:00,105119.5,105223.89,104690.85,104739.45,407.63013,2025-06-13 08:59:59.999,42805699.89202510,85669,247.85650000,26036694.68233990,0
2025-06-13 09:00:00,104739.44,104785.24,104500.0,104692.63,477.44962,2025-06-13 09:29:59.999,49963598.79137800,87137,176.34800000,18456478.15970310,0
2025-06-13 09:30:00,104692.63,104916.0,104539.62,104830.36,211.06906,2025-06-13 09:59:59.999,22102278.67620590,68494,121.27887000,12699730.48296230,0
2025-06-13 10:00:00,104830.36,104865.79,104425.79,104664.0,245.36979,2025-06-13 10:29:59.999,25679076.71212030,79289,108.77417000,11384327.48708560,0
2025-06-13 10:30:00,104664.0,104925.1,104518.42,104874.01,285.7074,2025-06-13 10:59:59.999,29937100.50875830,60546,180.58834000,18921889.81737250,0
2025-06-13 11:00:00,104874.0,105045.79,104698.71,104742.98,274.45866,2025-06-13 11:29:59.999,28781374.28389930,65201,114.05812000,11962410.15669790,0
2025-06-13 11:30:00,104742.98,105045.79,104640.0,105039.48,248.05218,2025-06-13 11:59:59.999,26015177.01360590,61886,128.84391000,13513447.84456490,0
2025-06-13 12:00:00,105039.48,105290.14,104935.87,105049.99,513.50399,2025-06-13 12:29:59.999,53960382.13241020,102510,263.05278000,27643177.50650140,0
2025-06-13 12:30:00,105050.0,105180.0,104822.36,104852.29,255.31764,2025-06-13 12:59:59.999,26803499.43258880,70581,120.56660000,12656622.34895430,0
2025-06-13 13:00:00,104852.28,104927.68,104721.05,104851.15,299.29386,2025-06-13 13:29:59.999,31369179.90306090,65538,120.47678000,12626213.32854040,0
2025-06-13 13:30:00,104851.14,105300.0,104674.14,104732.44,554.58139,2025-06-13 13:59:59.999,58258991.19707970,185151,193.28541000,20295988.60618200,0
2025-06-13 14:00:00,104732.82,104992.17,104154.81,104157.01,763.88372,2025-06-13 14:29:59.999,79837819.22665160,174444,351.49216000,36742686.77669450,0
2025-06-13 14:30:00,104157.01,105011.76,104118.0,104970.74,373.8216,2025-06-13 14:59:59.999,39093888.85871280,125095,226.72739000,23715373.36208950,0
2025-06-13 15:00:00,104970.74,105747.47,104860.0,105633.99,795.68867,2025-06-13 15:29:59.999,83893879.00873750,171100,501.29657000,52864111.47501190,0
2025-06-13 15:30:00,105633.99,105705.89,105272.66,105436.87,345.06432,2025-06-13 15:59:59.999,36431001.86939310,131288,154.66941000,16330390.11014330,0
2025-06-13 16:00:00,105436.87,105981.0,105308.83,105815.35,668.83064,2025-06-13 16:29:59.999,70773407.50251890,106112,402.77268000,42625020.62531950,0
2025-06-13 16:30:00,105815.35,105850.0,105372.31,105783.66,418.55829,2025-06-13 16:59:59.999,44214356.37918620,92665,211.70811000,22372851.07201230,0
2025-06-13 17:00:00,105783.65,105783.65,105061.47,105063.2,470.85493,2025-06-13 17:29:59.999,49638128.41841030,98391,159.60036000,16822378.18629220,0
2025-06-13 17:30:00,105063.2,105425.52,104867.65,105390.94,304.24729,2025-06-13 17:59:59.999,31986422.90971960,117784,130.98604000,13771709.19042050,0
2025-06-13 18:00:00,105390.94,105480.0,104860.46,104988.93,271.88307,2025-06-13 18:29:59.999,28574291.53747460,110843,106.48470000,11190653.59238690,0
2025-06-13 18:30:00,104988.94,105279.35,104668.73,105193.04,359.14971,2025-06-13 18:59:59.999,37683284.13014990,125653,171.08092000,17951722.57170150,0
2025-06-13 19:00:00,105193.04,105436.9,104900.0,105042.97,252.2138,2025-06-13 19:29:59.999,26524397.58799920,102721,99.46337000,10464600.26597000,0
2025-06-13 19:30:00,105042.97,105260.0,104938.55,105110.0,204.80096,2025-06-13 19:59:59.999,21526884.69863290,102965,103.36163000,10864680.33535740,0
2025-06-13 20:00:00,105110.01,105377.0,105020.87,105306.4,248.30963,2025-06-13 20:29:59.999,26119154.61904320,99519,146.05835000,15363908.04809540,0
2025-06-13 20:30:00,105306.4,105508.34,105198.0,105424.0,136.70155,2025-06-13 20:59:59.999,14402529.04889570,53196,78.71921000,8294069.68947680,0
2025-06-13 21:00:00,105424.0,105640.85,105326.41,105571.05,134.93381,2025-06-13 21:29:59.999,14231451.82802890,41954,68.91472000,7268692.52625760,0
2025-06-13 21:30:00,105571.05,105788.79,105440.0,105612.59,135.70291,2025-06-13 21:59:59.999,14333054.75083600,46804,61.64305000,6511305.08567170,0
2025-06-13 22:00:00,105612.58,105833.51,105612.58,105623.31,104.13144,2025-06-13 22:29:59.999,11008932.99912600,35840,50.07419000,5293905.53488060,0
2025-06-13 22:30:00,105623.3,105840.0,105542.0,105751.28,117.60937,2025-06-13 22:59:59.999,12431214.89457530,27196,53.74450000,5680243.09690370,0
2025-06-13 23:00:00,105751.29,105909.36,105751.28,105874.27,109.94388,2025-06-13 23:29:59.999,11638351.26680430,22056,61.26087000,6484782.21691970,0
2025-06-13 23:30:00,105874.27,106179.53,105874.26,106066.59,304.73798,2025-06-13 23:59:59.999,32313011.61394580,41782,205.48187000,21788333.56276320,0
2025-06-14 00:00:00,106066.59,106072.0,105703.61,105799.99,336.93446,2025-06-14 00:29:59.999,35687171.71155040,54986,143.70010000,15218012.99091950,0
2025-06-14 00:30:00,105800.0,106252.0,105731.87,105826.32,934.57354,2025-06-14 00:59:59.999,99051056.23143560,75830,665.65378000,70546861.60790940,0
